IBGE;NU_IDENTIFICADOR;q55_3;q55_9;q55_10;q55_11;q55_12;q55_13;q55_14;IBGE7;UF;Regiao;Município;areaKm2;Pop_total_2022;Porte_pop2022;Q_incompleto;q7;DataCenso;DataCenso_2023;d55_2_Faixas_etarias;d55_9;d55_11;d55_9bin1;d55_9bin2;d55_9bin3;d55_10bin1;d55_10bin2;d55_10bin3;d55_10bin4;d55_10bin5;d55_11bin1;d55_11bin2;d55_11bin3;d55_11bin4;d55_9bin1_sum;d55_9bin2_sum;d55_9bin3_sum;d55_10bin1_sum;d55_10bin2_sum;d55_10bin3_sum;d55_10bin4_sum;d55_10bin5_sum;d55_11bin1_sum;d55_11bin2_sum;d55_11bin3_sum;d55_11bin4_sum;nu_trabalhadores
314610;3,1461E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/10/2023;3146107;Minas gerais;Região Sudeste;Ouro Preto;1245,865;74821;Médio;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;1;;;1;;;1;2;3
314610;3,1461E+12;Feminino;Superior Completo;Outra formação de nível superior;Comissionada(o);Coordenador(a);De 31 a 40 horas semanais;02/05/2021;3146107;Minas gerais;Região Sudeste;Ouro Preto;1245,865;74821;Médio;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Comissionado;;;Nível Superior;;;;;;;;Comissionado;;;;3;;1;;;1;;;1;2;3
314610;3,1461E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/10/2023;3146107;Minas gerais;Região Sudeste;Ouro Preto;1245,865;74821;Médio;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;3;;1;;;1;;;1;2;3
314620;3,1462E+12;Feminino;Superior Completo;Assistente Social;Outro vínculo não permanente;Técnico(a) de nível superior;De 31 a 40 horas semanais;02/02/2021;3146206;Minas gerais;Região Sudeste;Ouro Verde de Minas;175,482;5757;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;1;;1;;;;;;;1;1
314700;3,147E+12;Feminino;Médio Completo;Profissional de nível médio;Servidor(a) Estatutária(o);Serviços Gerais;De 31 a 40 horas semanais;14/02/2006;3147006;Minas gerais;Região Sudeste;Paracatu;8229,595;94023;Médio;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Servidor Estatutário;;Nível Médio;;;;;;;Servidor Estatutário;;;;;3;2;;1;;;;2;;2;1;5
314700;3,147E+12;Feminino;Superior Completo;Profissional de nível médio;Comissionada(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;06/01/2021;3147006;Minas gerais;Região Sudeste;Paracatu;8229,595;94023;Médio;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Comissionado;;;Nível Superior;;;;;;;;Comissionado;;;3;2;;1;;;;2;;2;1;5
314700;3,147E+12;Feminino;Superior Completo;Assistente Social;Comissionada(o);Coordenador(a);De 31 a 40 horas semanais;15/08/2023;3147006;Minas gerais;Região Sudeste;Paracatu;8229,595;94023;Médio;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Comissionado;;;Nível Superior;;Assistente Social;;;;;;Comissionado;;;3;2;;1;;;;2;;2;1;5
314700;3,147E+12;Feminino;Superior Incompleto;Sem formação profissional;Servidor(a) Temporária(o);Educador(a) Social;De 31 a 40 horas semanais;10/08/2021;3147006;Minas gerais;Região Sudeste;Paracatu;8229,595;94023;Médio;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;3;2;;1;;;;2;;2;1;5
314700;3,147E+12;Feminino;Médio Completo;Profissional de nível médio;Servidor(a) Estatutária(o);Serviços Gerais;De 31 a 40 horas semanais;29/06/1995;3147006;Minas gerais;Região Sudeste;Paracatu;8229,595;94023;Médio;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Servidor Estatutário;;Nível Médio;;;;;;;Servidor Estatutário;;;;;3;2;;1;;;;2;;2;1;5
314720;3,1472E+12;Feminino;Superior Completo;Psicóloga(o);Outro vínculo não permanente;Técnico(a) de nível superior;De 11 a 20 horas semanais;01/10/2022;3147204;Minas gerais;Região Sudeste;Paraguaçu;424,296;21723;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;2;;1;;;1;;;;2;2
314720;3,1472E+12;Masculino;Superior Completo;Assistente Social;Outro vínculo não permanente;Técnico(a) de nível superior;De 21 a 30 horas semanais;01/10/2022;3147204;Minas gerais;Região Sudeste;Paraguaçu;424,296;21723;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;2;;1;;;1;;;;2;2
314730;3,1473E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;Até 10 horas semanais;03/08/2020;3147303;Minas gerais;Região Sudeste;Paraisópolis;331,238;20445;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;3;;2;;;1;2;;;1;3
314730;3,1473E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Coordenador(a);Até 10 horas semanais;03/08/2020;3147303;Minas gerais;Região Sudeste;Paraisópolis;331,238;20445;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;3;;2;;;1;2;;;1;3
314730;3,1473E+12;Masculino;Superior Completo;Assistente Social;Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 11 a 20 horas semanais;16/05/2022;3147303;Minas gerais;Região Sudeste;Paraisópolis;331,238;20445;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;2;;;1;2;;;1;3
314750;3,1475E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Coordenador(a);De 31 a 40 horas semanais;01/02/2022;3147501;Minas gerais;Região Sudeste;Passabém;94,183;1600;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;2;;2;;;;1;;;1;2
314750;3,1475E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 11 a 20 horas semanais;01/02/2022;3147501;Minas gerais;Região Sudeste;Passabém;94,183;1600;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;2;;2;;;;1;;;1;2
314790;3,1479E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Coordenador(a);De 31 a 40 horas semanais;12/08/2021;3147907;Minas gerais;Região Sudeste;Passos;1338,07;111939;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;2;;;1;1;;;2;3
314790;3,1479E+12;Feminino;Especialização;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 11 a 20 horas semanais;01/08/2023;3147907;Minas gerais;Região Sudeste;Passos;1338,07;111939;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;3;;2;;;1;1;;;2;3
314790;3,1479E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;15/09/2023;3147907;Minas gerais;Região Sudeste;Passos;1338,07;111939;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;2;;;1;1;;;2;3
314850;3,1485E+12;Feminino;Superior Completo;Pedagoga(o);Servidor(a) Estatutária(o);Coordenador(a);De 31 a 40 horas semanais;18/01/2021;3148509;Minas gerais;Região Sudeste;Pavão;601,19;8047;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;Pedagogo;;;;;Servidor Estatutário;;;;;1;2;1;1;;;;1;;;2;3
314850;3,1485E+12;Feminino;Médio Completo;Sem formação profissional;Empregada(o) Privada(o) (CLT);Serviços Gerais;Mais de 44 horas semanais;01/09/2014;3148509;Minas gerais;Região Sudeste;Pavão;601,19;8047;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;1;2;1;1;;;;1;;;2;3
314850;3,1485E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 41 a 44 horas semanais;18/01/2021;3148509;Minas gerais;Região Sudeste;Pavão;601,19;8047;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;1;2;1;1;;;;1;;;2;3
315010;3,1501E+12;Feminino;Superior Completo;Pedagoga(o);Comissionada(o);Coordenador(a);De 31 a 40 horas semanais;01/01/2021;3150109;Minas gerais;Região Sudeste;Piau;192,196;2796;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Comissionado;;;Nível Superior;Pedagogo;;;;;;;Comissionado;;;;1;1;;;;;;;1;;1
315050;3,1505E+12;Feminino;Superior Completo;Psicóloga(o);Outro vínculo não permanente;Coordenador(a);De 31 a 40 horas semanais;02/05/2017;3150505;Minas gerais;Região Sudeste;Pimenta;414,969;8563;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;2;;1;;;1;1;;;1;2
315050;3,1505E+12;Feminino;Especialização;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;02/05/2017;3150505;Minas gerais;Região Sudeste;Pimenta;414,969;8563;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;2;;1;;;1;1;;;1;2
315140;3,1514E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;03/07/2023;3151404;Minas gerais;Região Sudeste;Pitangui;569,636;26685;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;1;;;;;1;;;;1;1
315180;3,1518E+12;Masculino;Superior Completo;Psicóloga(o);Voluntária(o);Outros;De 11 a 20 horas semanais;20/03/2019;3151800;Minas gerais;Região Sudeste;Poços de Caldas;546,67;163742;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;1;7;;2;;1;3;;;;8;8
315180;3,1518E+12;Feminino;Superior Completo;Psicóloga(o);Trabalhador(a) de Empresa/Cooperativa/Entidade prestadora de serviços;Técnico(a) de nível superior;De 21 a 30 horas semanais;13/01/2017;3151800;Minas gerais;Região Sudeste;Poços de Caldas;546,67;163742;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;1;7;;2;;1;3;;;;8;8
315180;3,1518E+12;Feminino;Superior Completo;Assistente Social;Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/04/2014;3151800;Minas gerais;Região Sudeste;Poços de Caldas;546,67;163742;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;1;7;;2;;1;3;;;;8;8
315180;3,1518E+12;Feminino;Superior Completo;Assistente Social;Voluntária(o);Outros;De 11 a 20 horas semanais;27/07/2021;3151800;Minas gerais;Região Sudeste;Poços de Caldas;546,67;163742;Grande;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;1;7;;2;;1;3;;;;8;8
315180;3,1518E+12;Feminino;Superior Completo;Psicóloga(o);Trabalhador(a) de Empresa/Cooperativa/Entidade prestadora de serviços;Coordenador(a);Mais de 44 horas semanais;01/05/2022;3151800;Minas gerais;Região Sudeste;Poços de Caldas;546,67;163742;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;1;7;;2;;1;3;;;;8;8
315180;3,1518E+12;Feminino;Superior Completo;Advogada(o);Outro vínculo não permanente;Cuidador(a);De 41 a 44 horas semanais;04/12/2021;3151800;Minas gerais;Região Sudeste;Poços de Caldas;546,67;163742;Grande;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;Advogado;;;;;Outros vínculos não permanentes;;1;7;;2;;1;3;;;;8;8
315180;3,1518E+12;Feminino;Superior Completo;Outra formação de nível superior;Empregada(o) Privada(o) (CLT);Outros;De 21 a 30 horas semanais;16/03/2023;3151800;Minas gerais;Região Sudeste;Poços de Caldas;546,67;163742;Grande;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;;1;7;;2;;1;3;;;;8;8
315180;3,1518E+12;Feminino;Médio Completo;Administrador(a);Empregada(o) Privada(o) (CLT);Apoio Administrativo;De 31 a 40 horas semanais;13/04/2023;3151800;Minas gerais;Região Sudeste;Poços de Caldas;546,67;163742;Grande;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;1;7;;2;;1;3;;;;8;8
315240;3,1524E+12;Feminino;Superior Completo;Outra formação de nível superior;Servidor(a) Temporária(o);Coordenador(a);De 21 a 30 horas semanais;04/04/2022;3152402;Minas gerais;Região Sudeste;Poté;625,111;13666;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;;;3;;1;;;1;1;;;2;3
315240;3,1524E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;08/08/2022;3152402;Minas gerais;Região Sudeste;Poté;625,111;13666;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;1;;;1;1;;;2;3
315240;3,1524E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;13/11/2019;3152402;Minas gerais;Região Sudeste;Poté;625,111;13666;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;3;;1;;;1;1;;;2;3
315290;3,1529E+12;Feminino;Especialização;Assistente Social;Servidor(a) Estatutária(o);Coordenador(a);De 41 a 44 horas semanais;01/06/2018;3152907;Minas gerais;Região Sudeste;Pratápolis;215,516;8406;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;4;;3;;;1;3;;;1;4
315290;3,1529E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/09/2019;3152907;Minas gerais;Região Sudeste;Pratápolis;215,516;8406;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;4;;3;;;1;3;;;1;4
315290;3,1529E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/08/2023;3152907;Minas gerais;Região Sudeste;Pratápolis;215,516;8406;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;4;;3;;;1;3;;;1;4
315290;3,1529E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;20/01/2022;3152907;Minas gerais;Região Sudeste;Pratápolis;215,516;8406;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;4;;3;;;1;3;;;1;4
315350;3,1535E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Coordenador(a);De 21 a 30 horas semanais;30/11/2022;3153509;Minas gerais;Região Sudeste;Alto Jequitibá;152,272;8397;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;1;;1;;;;;;;1;1
315420;3,1542E+12;Feminino;Superior Completo;Assistente Social;Comissionada(o);Técnico(a) de nível superior;De 11 a 20 horas semanais;01/08/2022;3154200;Minas gerais;Região Sudeste;Resende Costa;618,312;11230;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Comissionado;;;Nível Superior;;Assistente Social;;;;;;Comissionado;;;1;2;;1;;;1;;;3;;3
315420;3,1542E+12;Masculino;Superior Completo;Psicóloga(o);Comissionada(o);Técnico(a) de nível superior;De 11 a 20 horas semanais;01/08/2022;3154200;Minas gerais;Região Sudeste;Resende Costa;618,312;11230;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Comissionado;;;Nível Superior;;;;;Psicólogo;;;Comissionado;;;1;2;;1;;;1;;;3;;3
315420;3,1542E+12;Feminino;Superior Incompleto;Profissional de nível médio;Comissionada(o);Coordenador(a);De 31 a 40 horas semanais;01/01/2021;3154200;Minas gerais;Região Sudeste;Resende Costa;618,312;11230;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Comissionado;;Nível Médio;;;;;;;;;Comissionado;;;1;2;;1;;;1;;;3;;3
315540;3,1554E+12;Feminino;Mestrado;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 11 a 20 horas semanais;02/03/2022;3155405;Minas gerais;Região Sudeste;Rio Novo;209,31;8518;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;3;;1;;;1;1;;1;1;3
315540;3,1554E+12;Feminino;Superior Completo;Psicóloga(o);Outro vínculo não permanente;Técnico(a) de nível superior;Até 10 horas semanais;02/03/2022;3155405;Minas gerais;Região Sudeste;Rio Novo;209,31;8518;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;3;;1;;;1;1;;1;1;3
315540;3,1554E+12;Feminino;Superior Completo;Administrador(a);Comissionada(o);Coordenador(a);De 31 a 40 horas semanais;02/03/2022;3155405;Minas gerais;Região Sudeste;Rio Novo;209,31;8518;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Comissionado;;;Nível Superior;;;;;;;;Comissionado;;;;3;;1;;;1;1;;1;1;3
315800;3,158E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;04/09/2023;3158003;Minas gerais;Região Sudeste;Santa Maria de Itabira;597,441;10485;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;2;;;1;;;;3;3
315800;3,158E+12;Feminino;Especialização;Assistente Social;Servidor(a) Temporária(o);Coordenador(a);De 21 a 30 horas semanais;04/09/2023;3158003;Minas gerais;Região Sudeste;Santa Maria de Itabira;597,441;10485;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;2;;;1;;;;3;3
315800;3,158E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/02/2023;3158003;Minas gerais;Região Sudeste;Santa Maria de Itabira;597,441;10485;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;3;;2;;;1;;;;3;3
315810;3,1581E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;01/03/2023;3158102;Minas gerais;Região Sudeste;Santa Maria do Salto;440,605;4755;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;2;;;1;;;;3;3
315810;3,1581E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Temporária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;01/03/2023;3158102;Minas gerais;Região Sudeste;Santa Maria do Salto;440,605;4755;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;3;;2;;;1;;;;3;3
315810;3,1581E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Coordenador(a);De 31 a 40 horas semanais;19/02/2023;3158102;Minas gerais;Região Sudeste;Santa Maria do Salto;440,605;4755;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;2;;;1;;;;3;3
315850;3,1585E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;18/04/2023;3158508;Minas gerais;Região Sudeste;Santana de Pirapama;1255,832;7030;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;2;;1;;;1;;;;2;2
315850;3,1585E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Temporária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;18/04/2023;3158508;Minas gerais;Região Sudeste;Santana de Pirapama;1255,832;7030;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;2;;1;;;1;;;;2;2
316110;3,1611E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Coordenador(a);De 21 a 30 horas semanais;05/09/2022;3161106;Minas gerais;Região Sudeste;São Francisco;3308,1;52762;Médio;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;3;;2;;;1;1;;;2;3
316110;3,1611E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;16/10/2023;3161106;Minas gerais;Região Sudeste;São Francisco;3308,1;52762;Médio;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;2;;;1;1;;;2;3
316110;3,1611E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;02/10/2023;3161106;Minas gerais;Região Sudeste;São Francisco;3308,1;52762;Médio;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;3;;2;;;1;1;;;2;3
316150;3,1615E+12;Feminino;Superior Completo;Pedagoga(o);Empregada(o) Privada(o) (CLT);Cuidador(a);Mais de 44 horas semanais;27/11/2023;3161502;Minas gerais;Região Sudeste;São Geraldo;185,578;10282;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;1;;2;1;;;;;;;1;2;3
316150;3,1615E+12;Feminino;Superior Completo;Enfermeiro;Comissionada(o);Coordenador(a);De 31 a 40 horas semanais;07/09/2023;3161502;Minas gerais;Região Sudeste;São Geraldo;185,578;10282;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Comissionado;;;Nível Superior;;;;;;;;Comissionado;;1;;2;1;;;;;;;1;2;3
316150;3,1615E+12;Masculino;Fundamental Completo;Administrador(a);Outro vínculo não permanente;Cuidador(a);Mais de 44 horas semanais;27/11/2023;3161502;Minas gerais;Região Sudeste;São Geraldo;185,578;10282;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;1;;2;1;;;;;;;1;2;3
