IBGE;NU_IDENTIFICADOR;q48_3;q48_9;q48_10;q48_11;q48_12;q48_13;IBGE7;UF;Regiao;Município;areaKm2;Pop_total_2022;Porte_pop2022;Q_incompleto;q7;DataCenso;DataCenso_2023;d48_2_Faixas_etarias;d48_9;d48_11;d48_9bin1;d48_9bin2;d48_9bin3;d48_10bin1;d48_10bin2;d48_10bin3;d48_10bin4;d48_10bin5;d48_11bin1;d48_11bin2;d48_11bin3;d48_11bin4;d48_9bin1_sum;d48_9bin2_sum;d48_9bin3_sum;d48_10bin1_sum;d48_10bin2_sum;d48_10bin3_sum;d48_10bin4_sum;d48_10bin5_sum;d48_11bin1_sum;d48_11bin2_sum;d48_11bin3_sum;d48_11bin4_sum;nu_familias_acolhedoras
313420;3,1342E+12;Feminino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;03/03/2019;3134202;Minas gerais;Região Sudeste;Ituiutaba;2598,046;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;3;;;;;;;;;;7;7
313420;3,1342E+12;Feminino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;31/10/2019;3134202;Minas gerais;Região Sudeste;Ituiutaba;2598,046;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;3;;;;;;;;;;7;7
313420;3,1342E+12;Feminino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;08/06/2020;3134202;Minas gerais;Região Sudeste;Ituiutaba;2598,046;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;3;;;;;;;;;;7;7
313420;3,1342E+12;Feminino;Médio Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;14/01/2020;3134202;Minas gerais;Região Sudeste;Ituiutaba;2598,046;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;4;3;;;;;;;;;;7;7
313420;3,1342E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;09/07/2018;3134202;Minas gerais;Região Sudeste;Ituiutaba;2598,046;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;4;3;;;;;;;;;;7;7
313530;3,1353E+12;Feminino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;05/04/2019;3135308;Minas gerais;Região Sudeste;Japaraíba;172,141;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;1;1;3;;;;1;;;;;5;5
313530;3,1353E+12;Feminino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;05/04/2019;3135308;Minas gerais;Região Sudeste;Japaraíba;172,141;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;1;1;3;;;;1;;;;;5;5
313530;3,1353E+12;Feminino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;05/04/2019;3135308;Minas gerais;Região Sudeste;Japaraíba;172,141;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;1;1;3;;;;1;;;;;5;5
313530;3,1353E+12;Feminino;Superior Completo;Advogada(o);Sem Vínculo;Família Acolhedora;05/04/2019;3135308;Minas gerais;Região Sudeste;Japaraíba;172,141;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;Advogado;;;;;Outros vínculos não permanentes;1;1;3;;;;1;;;;;5;5
313530;3,1353E+12;Masculino;Médio Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;06/03/2020;3135308;Minas gerais;Região Sudeste;Japaraíba;172,141;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;1;1;3;;;;1;;;;;5;5
313670;3,1367E+12;Feminino;Superior Completo;Pedagoga(o);Sem Vínculo;Família Acolhedora;23/05/2017;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Feminino;Superior Completo;Pedagoga(o);Sem Vínculo;Família Acolhedora;28/09/2010;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;28/03/2023;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Feminino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;11/06/2019;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;19/05/2015;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;16/12/2022;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Feminino;Superior Completo;Pedagoga(o);Sem Vínculo;Família Acolhedora;18/05/2023;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Feminino;Superior Completo;Pedagoga(o);Sem Vínculo;Família Acolhedora;18/12/2020;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Masculino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;11/11/2022;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;19/05/2015;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Feminino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;18/10/2021;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;16/12/2022;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Feminino;Superior Completo;Pedagoga(o);Sem Vínculo;Família Acolhedora;31/03/2020;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313670;3,1367E+12;Feminino;Superior Completo;Administrador(a);Sem Vínculo;Família Acolhedora;06/11/2019;3136702;Minas gerais;Região Sudeste;Juiz de Fora;1435,749;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;1;6;7;5;;;;;;;;14;14
313700;3,137E+12;Masculino;Fundamental Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;28/11/2018;3137007;Minas gerais;Região Sudeste;Ladainha;866,29;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;1;;;;;;;;;;;1;1
313720;3,1372E+12;Masculino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;20/10/2009;3137205;Minas gerais;Região Sudeste;Lagoa da Prata;439,984;MG;Médio;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2;2;;;;;;;;;;4;4
313720;3,1372E+12;Masculino;Médio Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;12/08/2008;3137205;Minas gerais;Região Sudeste;Lagoa da Prata;439,984;MG;Médio;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;2;2;;;;;;;;;;4;4
313720;3,1372E+12;Masculino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;15/10/2009;3137205;Minas gerais;Região Sudeste;Lagoa da Prata;439,984;MG;Médio;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2;2;;;;;;;;;;4;4
313720;3,1372E+12;Feminino;Médio Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;25/02/2010;3137205;Minas gerais;Região Sudeste;Lagoa da Prata;439,984;MG;Médio;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;2;2;;;;;;;;;;4;4
313860;3,1386E+12;Feminino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;17/08/2023;3138609;Minas gerais;Região Sudeste;Lima Duarte;848,564;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;;;1;;;;;;;;;1;1
313890;3,1389E+12;Feminino;Superior Completo;Pedagoga(o);Sem Vínculo;Família Acolhedora;03/05/2023;3138906;Minas gerais;Região Sudeste;Machacalis;332,378;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;2;1;2;1;1;;;;;;;5;5
313890;3,1389E+12;Feminino;Fundamental Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;02/05/2023;3138906;Minas gerais;Região Sudeste;Machacalis;332,378;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2;1;2;1;1;;;;;;;5;5
313890;3,1389E+12;Feminino;Médio Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;19/05/2023;3138906;Minas gerais;Região Sudeste;Machacalis;332,378;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;2;1;2;1;1;;;;;;;5;5
313890;3,1389E+12;Feminino;Fundamental Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;20/04/2023;3138906;Minas gerais;Região Sudeste;Machacalis;332,378;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2;1;2;1;1;;;;;;;5;5
313890;3,1389E+12;Feminino;Superior Completo;Assistente Social;Sem Vínculo;Família Acolhedora;27/04/2023;3138906;Minas gerais;Região Sudeste;Machacalis;332,378;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;2;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;2;1;2;1;1;;;;;;;5;5
314000;3,14E+12;Feminino;Médio Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;06/01/2023;3140001;Minas gerais;Região Sudeste;Mariana;1194,208;MG;Médio;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;;1;;;;;;;;;;1;1
314010;3,1401E+12;Feminino;Médio Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;25/04/2023;3140100;Minas gerais;Região Sudeste;Marilac;158,809;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;2;2;1;;;;;;;;;5;5
314010;3,1401E+12;Feminino;Fundamental Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;06/12/2023;3140100;Minas gerais;Região Sudeste;Marilac;158,809;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2;2;1;;;;;;;;;5;5
314010;3,1401E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;30/10/2023;3140100;Minas gerais;Região Sudeste;Marilac;158,809;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;2;2;1;;;;;;;;;5;5
314010;3,1401E+12;Masculino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;09/05/2023;3140100;Minas gerais;Região Sudeste;Marilac;158,809;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;2;2;1;;;;;;;;;5;5
314010;3,1401E+12;Feminino;Fundamental Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;21/08/2023;3140100;Minas gerais;Região Sudeste;Marilac;158,809;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2;2;1;;;;;;;;;5;5
314210;3,1421E+12;Masculino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;23/06/2016;3142106;Minas gerais;Região Sudeste;Miradouro;301,672;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2;;;;;;;;;;;2;2
314210;3,1421E+12;Feminino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;23/06/2016;3142106;Minas gerais;Região Sudeste;Miradouro;301,672;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2;;;;;;;;;;;2;2
314330;3,1433E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;08/05/2019;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Feminino;Superior Completo;Advogada(o);Voluntária(o);Família Acolhedora;24/02/2022;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;Advogado;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Feminino;Médio Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;08/05/2019;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Masculino;Médio Incompleto;Sem formação profissional;Voluntária(o);Família Acolhedora;08/05/2019;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;08/05/2019;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Masculino;Médio Completo;Profissional de nível médio;Voluntária(o);Família Acolhedora;24/08/2022;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Feminino;Superior Completo;Assistente Social;Voluntária(o);Família Acolhedora;01/08/2019;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Masculino;Médio Completo;Sem formação profissional;Voluntária(o);Família Acolhedora;17/11/2023;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Feminino;Médio Completo;Sem formação profissional;Voluntária(o);Família Acolhedora;13/11/2023;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Feminino;Superior Completo;Pedagoga(o);Voluntária(o);Família Acolhedora;24/05/2023;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;24/08/2022;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Feminino;Superior Completo;Enfermeira(o);Voluntária(o);Família Acolhedora;08/05/2019;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;29/03/2022;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Feminino;Fundamental Incompleto;Sem formação profissional;Voluntária(o);Família Acolhedora;04/07/2019;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Feminino;Fundamental Completo;Sem formação profissional;Voluntária(o);Família Acolhedora;11/05/2022;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Feminino;Médio Incompleto;Sem formação profissional;Voluntária(o);Família Acolhedora;08/05/2019;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314330;3,1433E+12;Masculino;Médio Completo;Profissional de nível médio;Voluntária(o);Família Acolhedora;08/05/2019;3143302;Minas gerais;Região Sudeste;Montes Claros;3568,941;MG;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;4;5;8;1;1;;1;;;;;17;17
314380;3,1438E+12;Feminino;Superior Completo;Outra formação de nível superior;Voluntária(o);Família Acolhedora;20/07/2017;3143807;Minas gerais;Região Sudeste;Munhoz;191,564;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;;;1;;;;;;;;;1;1
314380;3,1438E+12;Feminino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;26/07/2021;3143807;Minas gerais;Região Sudeste;Munhoz;191,564;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;1;;;;;;;;;;;1;1
314535;3,14535E+12;Feminino;Fundamental Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;20/07/2023;3145356;Minas gerais;Região Sudeste;Novo Oriente de Minas;755,151;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;3;3;1;;;;;;;;10;10
314535;3,14535E+12;Feminino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;20/12/2022;3145356;Minas gerais;Região Sudeste;Novo Oriente de Minas;755,151;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;3;3;1;;;;;;;;10;10
314535;3,14535E+12;Feminino;Superior Completo;Pedagoga(o);Sem Vínculo;Família Acolhedora;25/11/2015;3145356;Minas gerais;Região Sudeste;Novo Oriente de Minas;755,151;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;4;3;3;1;;;;;;;;10;10
314535;3,14535E+12;Feminino;Superior Incompleto;Profissional de nível médio;Sem Vínculo;Família Acolhedora;24/08/2016;3145356;Minas gerais;Região Sudeste;Novo Oriente de Minas;755,151;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;4;3;3;1;;;;;;;;10;10
314535;3,14535E+12;Feminino;Médio Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;08/05/2017;3145356;Minas gerais;Região Sudeste;Novo Oriente de Minas;755,151;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;3;3;1;;;;;;;;10;10
314535;3,14535E+12;Feminino;Superior Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;11/09/2023;3145356;Minas gerais;Região Sudeste;Novo Oriente de Minas;755,151;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;4;3;3;1;;;;;;;;10;10
314535;3,14535E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;21/01/2023;3145356;Minas gerais;Região Sudeste;Novo Oriente de Minas;755,151;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;4;3;3;1;;;;;;;;10;10
314535;3,14535E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;06/12/2022;3145356;Minas gerais;Região Sudeste;Novo Oriente de Minas;755,151;MG;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;4;3;3;1;;;;;;;;10;10
